1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.17053,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,15.5904,9999,9999,1^3^20:1^1^1520
9999,9.71883,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,8.2418,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,15.2036,9999,9999,1^3^20:1^1^1520
9999,17.2945,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,0.744868,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,17.2455,9999,9999,1^3^20:1^1^1520
9999,12.9124,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.7693,9999,9999,1^4^20:1^1^1520
9999,15.6631,9999,9999,1^3^20:1^1^1520
9999,9.0104,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.6551,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,6.74751,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,18.2306,9999,9999,1^3^20:1^1^1520
9999,0.115686,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,1.06438,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,16.9186,9999,9999,1^4^20:1^1^1520
9999,10.617,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,14.4416,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,16.0999,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,14.1747,9999,9999,1^3^20:1^1^1520
9999,11.2949,9999,9999,1^4^20:1^1^1520
9999,7.77156,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,6.52014,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,11.0026,9999,9999,1^3^20:1^1^1520
9999,8.25596,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,13.8493,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,1.36589,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,5.71725,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.59837,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,18.1372,9999,9999,1^3^20:1^1^1520
9999,9.83256,9999,9999,1^4^20:1^1^1520
9999,8.71292,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,0.161333,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.76193,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,17.5918,9999,9999,1^4^20:1^1^1520
9999,15.5686,9999,9999,1^3^20:1^1^1520
9999,13.7391,9999,9999,1^4^20:1^1^1520
9999,8.69681,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,3.11134,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,9.53117,9999,9999,1^4^20:1^1^1520
9999,11.4076,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,15.727,9999,9999,1^4^20:1^1^1520
9999,10.2516,9999,9999,1^3^20:1^1^1520
9999,9.65495,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,4.45584,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,4.00961,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,13.6858,9999,9999,1^3^20:1^1^1520
9999,1.12227,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.9561,9999,9999,1^3^20:1^1^1520
9999,7.22578,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,0.273169,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,1.59451,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,12.1348,9999,9999,1^4^20:1^1^1520
9999,1.55267,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,7.03706,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.9383,9999,9999,1^3^20:1^1^1520
9999,2.78341,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,7.40401,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,14.1958,9999,9999,1^4^20:1^1^1520
9999,8.34334,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,17.3799,9999,9999,1^4^20:1^1^1520
9999,13.1745,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,10.3933,9999,9999,1^4^20:1^1^1520
9999,8.88013,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,17.2406,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,18.4201,9999,9999,1^3^20:1^1^1520
9999,0.720319,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,6.86859,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,0.772868,9999,9999,1^2^20:1^3^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,5.41471,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,12.3592,9999,9999,1^3^20:1^1^1520
9999,14.9438,9999,9999,1^4^20:1^1^1520
9999,14.5409,9999,9999,1^3^20:1^1^1520
9999,7.95631,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,16.1225,9999,9999,1^3^20:1^1^1520
9999,14.6441,9999,9999,1^4^20:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,1.48302,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,15.7719,9999,9999,1^3^20:1^1^1520
9999,15.7201,9999,9999,1^4^20:1^1^1520
9999,16.9167,9999,9999,1^3^20:1^1^1520
1,9999,9999,9999,1^2^20:1^4^1020:1^1^1520
1,9999,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,4.00307,9999,9999,1^2^20:1^4^1020:1^1^1520
9999,16.3559,9999,9999,1^3^20:1^1^1520
9999,14.8812,9999,9999,1^4^20:1^1^1520
9999,7.06252,9999,9999,1^2^20:1^3^1020:1^1^1520
9999,4.66248,9999,9999,1^2^20:1^4^1020:1^1^1520
